cell,tissue,subtissue,cell_ontology_class,cell_ontology_id,free_annotation,cluster.ids,mouse.sex,mouse.id,tSNE_1,tSNE_2,plate.barcode
A1.D042475.3_9_M.1.1,Trachea,,endothelial cell,CL:0000115,NA,5,M,3_9_M,14.197619575980788,-31.48056356542145,D042475
A1.MAA000496.3_10_M.1.1,Trachea,,mesenchymal cell,CL:0008019,NA,1,M,3_10_M,20.569604172540572,-5.7864355393797045,MAA000496
A1.MAA001865.3_38_F.1.1,Trachea,,mesenchymal cell,CL:0008019,NA,1,F,3_38_F,13.396635223005074,-4.663191396185376,MAA001865
A1.MAA001867.3_39_F.1.1,Trachea,,mesenchymal cell,CL:0008019,NA,1,F,3_39_F,17.7287262532676,-7.412115000787141,MAA001867
A10.D042474.3_8_M.1.1,Trachea,,mesenchymal cell,CL:0008019,NA,0,M,3_8_M,-22.81094030943525,4.636832261687253,D042474
A10.D042475.3_9_M.1.1,Trachea,,endothelial cell,CL:0000115,NA,5,M,3_9_M,9.77807350665076,-27.37161127949002,D042475
A10.MAA000496.3_10_M.1.1,Trachea,,mesenchymal cell,CL:0008019,NA,2,M,3_10_M,-12.904344855068292,-10.426430316397271,MAA000496
A10.MAA001865.3_38_F.1.1,Trachea,,mesenchymal cell,CL:0008019,NA,0,F,3_38_F,-17.717677640009104,24.322525766046184,MAA001865
A11.MAA001865.3_38_F.1.1,Trachea,,mesenchymal cell,CL:0008019,NA,2,F,3_38_F,-3.238550524978068,-2.256166633487751,MAA001865
A11.MAA001867.3_39_F.1.1,Trachea,,mesenchymal cell,CL:0008019,NA,1,F,3_39_F,33.771115058319275,-11.30776019271256,MAA001867
A12.D042474.3_8_M.1.1,Trachea,,mesenchymal cell,CL:0008019,NA,0,M,3_8_M,-17.29484824777556,27.882702990595668,D042474
A12.D042475.3_9_M.1.1,Trachea,,mesenchymal cell,CL:0008019,NA,0,M,3_9_M,-1.1172906415900148,12.322650807840434,D042475
A12.MAA001865.3_38_F.1.1,Trachea,,mesenchymal cell,CL:0008019,NA,0,F,3_38_F,-12.032982030877143,7.392996559851199,MAA001865
A12.MAA001867.3_39_F.1.1,Trachea,,mesenchymal cell,CL:0008019,NA,1,F,3_39_F,20.288573459753675,-8.156986159169218,MAA001867
A13.D042474.3_8_M.1.1,Trachea,,mesenchymal cell,CL:0008019,NA,0,M,3_8_M,-23.40559047999177,6.141668656482001,D042474
A13.MAA000496.3_10_M.1.1,Trachea,,blood cell,CL:0000081,NA,4,M,3_10_M,1.169778309698754,41.21859795381914,MAA000496
A13.MAA001865.3_38_F.1.1,Trachea,,mesenchymal cell,CL:0008019,NA,0,F,3_38_F,-12.848615842156477,9.610831009456179,MAA001865
