cell,tissue,subtissue,cell_ontology_class,cell_ontology_id,free_annotation,cluster.ids,mouse.sex,mouse.id,tSNE_1,tSNE_2,plate.barcode
A1.MAA000611.3_8_M.1.1,Large_Intestine,Proximal,epithelial cell of large intestine,CL:0002253,Lgr5+ undifferentiated cell (Proximal),1,M,3_8_M,-20.846677869212375,0.7292758018393154,MAA000611
A1.MAA000612.3_9_M.1.1,Large_Intestine,Proximal,epithelial cell of large intestine,CL:0002253,Lgr5- undifferentiated cell,4,M,3_9_M,1.4899732567091144,35.77022528034395,MAA000612
A1.MAA000870.3_10_M.1.1,Large_Intestine,Distal,large intestine goblet cell,CL:1000320,Goblet cell (Distal),6,M,3_10_M,30.090709767015163,-0.829773768032015,MAA000870
A1.MAA000871.3_11_M.1.1,Large_Intestine,Proximal,epithelial cell of large intestine,CL:0002253,Lgr5- undifferentiated cell,4,M,3_11_M,4.829412476360451,28.28168711182509,MAA000871
A1.MAA000909.3_10_M.1.1,Large_Intestine,Proximal,large intestine goblet cell,CL:1000320,Goblet cell (Proximal),11,M,3_10_M,4.904287414284535,15.521160696196286,MAA000909
A1.MAA000937.3_8_M.1.1,Large_Intestine,Distal,large intestine goblet cell,CL:1000320,Goblet cell (Distal),6,M,3_8_M,33.03573243536396,-4.263481320716015,MAA000937
A1.MAA001632.3_56_F.1.1,Large_Intestine,Proximal,large intestine goblet cell,CL:1000320,Goblet cell (Proximal),11,F,3_56_F,10.467481829908856,10.272314735283748,MAA001632
A1.MAA001869.3_38_F.1.1,Large_Intestine,Proximal,epithelial cell of large intestine,CL:0002253,Lgr5- amplifying undifferentiated cell,0,F,3_38_F,-7.973938933987373,20.069623460242422,MAA001869
A1.MAA001871.3_39_F.1.1,Large_Intestine,Proximal,epithelial cell of large intestine,CL:0002253,Lgr5- undifferentiated cell,4,F,3_39_F,-5.988312606387776,32.25014017592142,MAA001871
A1.MAA001872.3_39_F.1.1,Large_Intestine,Proximal,epithelial cell of large intestine,CL:0002253,Lgr5- amplifying undifferentiated cell,0,F,3_39_F,-25.18965438576415,20.984480485722678,MAA001872
A1.MAA001873.3_38_F.1.1,Large_Intestine,Distal,Brush cell of epithelium proper of large intestine,CL:0002203,Tuft cell,14,F,3_38_F,-1.9208972464694423,46.83811263578658,MAA001873
A1.MAA001875.3_39_F.1.1,Large_Intestine,Distal,epithelial cell of large intestine,CL:0002253,Lgr5+ undifferentiated cell (Distal),3,F,3_39_F,-6.905727119188454,5.057972627235888,MAA001875
