cell,tissue,subtissue,cell_ontology_class,cell_ontology_id,free_annotation,cluster.ids,mouse.sex,mouse.id,tSNE_1,tSNE_2,plate.barcode
A1.B000971.3_39_F.1.1,Spleen,,B cell,CL:0000236,NA,0,F,3_39_F,20.259636077667782,-2.287326232261758,B000971
A1.B001750.3_38_F.1.1,Spleen,,B cell,CL:0000236,NA,4,F,3_38_F,-14.543742748943643,-1.3900289762171503,B001750
A1.MAA000508.3_9_M.1.1,Spleen,,B cell,CL:0000236,NA,0,M,3_9_M,14.522271492895086,-1.7539980545086638,MAA000508
A1.MAA000559.3_8_M.1.1,Spleen,,B cell,CL:0000236,NA,0,M,3_8_M,21.50840555356361,8.870377962029972,MAA000559
A1.MAA000776.3_10_M.1.1,Spleen,,B cell,CL:0000236,NA,3,M,3_10_M,-16.915973090483536,24.4022260675178,MAA000776
A1.MAA000779.3_11_M.1.1,Spleen,,B cell,CL:0000236,NA,0,M,3_11_M,8.15079655689788,26.163073272300476,MAA000779
A10.B000971.3_39_F.1.1,Spleen,,T cell,CL:0000084,NA,1,F,3_39_F,-38.15193207503011,-4.957907968898186,B000971
A10.B001750.3_38_F.1.1,Spleen,,T cell,CL:0000084,NA,1,F,3_38_F,-25.620684378802494,-11.495839806230526,B001750
A10.MAA000508.3_9_M.1.1,Spleen,,T cell,CL:0000084,NA,1,M,3_9_M,-33.16498399945804,-3.384042187799467,MAA000508
A10.MAA000559.3_8_M.1.1,Spleen,,B cell,CL:0000236,NA,0,M,3_8_M,3.8865228877758407,27.57097427976882,MAA000559
A10.MAA000779.3_11_M.1.1,Spleen,,B cell,CL:0000236,NA,3,M,3_11_M,-7.890170714414861,26.83817415866044,MAA000779
A11.B000971.3_39_F.1.1,Spleen,,B cell,CL:0000236,NA,2,F,3_39_F,22.034615672593265,-15.74495541996028,B000971
A11.B001750.3_38_F.1.1,Spleen,,macrophage,CL:0000235,NA,5,F,3_38_F,-18.422270734264753,-39.590259251023326,B001750
A11.MAA000508.3_9_M.1.1,Spleen,,B cell,CL:0000236,NA,2,M,3_9_M,18.36844663427576,-13.972394847574549,MAA000508
A11.MAA000559.3_8_M.1.1,Spleen,,B cell,CL:0000236,NA,0,M,3_8_M,12.360429490388736,6.682921184804635,MAA000559
A11.MAA000779.3_11_M.1.1,Spleen,,B cell,CL:0000236,NA,3,M,3_11_M,-4.227435728744632,21.167445580687346,MAA000779
A12.B000971.3_39_F.1.1,Spleen,,T cell,CL:0000084,NA,1,F,3_39_F,-13.130644171087607,-22.5663129595982,B000971
A12.MAA000508.3_9_M.1.1,Spleen,,macrophage,CL:0000235,NA,5,M,3_9_M,-18.190130210477264,-41.77164351399536,MAA000508
A12.MAA000559.3_8_M.1.1,Spleen,,B cell,CL:0000236,NA,0,M,3_8_M,20.255720982155562,11.693224831436577,MAA000559
A12.MAA000776.3_10_M.1.1,Spleen,,B cell,CL:0000236,NA,4,M,3_10_M,-4.534813068755419,-6.661479007798941,MAA000776
A12.MAA000779.3_11_M.1.1,Spleen,,B cell,CL:0000236,NA,0,M,3_11_M,16.1765466747413,3.519496968117192,MAA000779
A13.B000971.3_39_F.1.1,Spleen,,B cell,CL:0000236,NA,0,F,3_39_F,23.00583686812908,7.738945282003959,B000971
A13.B001750.3_38_F.1.1,Spleen,,B cell,CL:0000236,NA,2,F,3_38_F,20.9451428614178,-17.695414847019652,B001750
A13.MAA000508.3_9_M.1.1,Spleen,,B cell,CL:0000236,NA,0,M,3_9_M,16.17300386217507,17.294634701875427,MAA000508
A13.MAA000776.3_10_M.1.1,Spleen,,B cell,CL:0000236,NA,2,M,3_10_M,-5.409767415010721,-28.696865856232318,MAA000776
A13.MAA000779.3_11_M.1.1,Spleen,,B cell,CL:0000236,NA,0,M,3_11_M,14.738299525393789,13.369179661481827,MAA000779
A14.B000971.3_39_F.1.1,Spleen,,B cell,CL:0000236,NA,0,F,3_39_F,22.577280762028312,21.76250831431153,B000971
A14.B001750.3_38_F.1.1,Spleen,,T cell,CL:0000084,NA,1,F,3_38_F,-26.99528155917799,-16.317076236668164,B001750
A14.MAA000508.3_9_M.1.1,Spleen,,macrophage,CL:0000235,NA,5,M,3_9_M,-15.02275421116131,-39.76734105940868,MAA000508
A14.MAA000559.3_8_M.1.1,Spleen,,T cell,CL:0000084,NA,1,M,3_8_M,-9.057876698356962,-27.688540311517073,MAA000559
A14.MAA000779.3_11_M.1.1,Spleen,,T cell,CL:0000084,NA,1,M,3_11_M,-16.442921645431007,-21.338479062527597,MAA000779
A15.B000971.3_39_F.1.1,Spleen,,B cell,CL:0000236,NA,0,F,3_39_F,23.096989160895866,16.399194072345953,B000971
A15.B001750.3_38_F.1.1,Spleen,,B cell,CL:0000236,NA,0,F,3_38_F,9.46401910403732,2.381712771668241,B001750
A15.MAA000508.3_9_M.1.1,Spleen,,B cell,CL:0000236,NA,2,M,3_9_M,20.9271446377509,-12.159597097502614,MAA000508
A15.MAA000776.3_10_M.1.1,Spleen,,B cell,CL:0000236,NA,0,M,3_10_M,17.507020659059638,18.93945388805944,MAA000776
A15.MAA000779.3_11_M.1.1,Spleen,,B cell,CL:0000236,NA,3,M,3_11_M,3.605915873877679,-5.527080915529547,MAA000779
A16.B000971.3_39_F.1.1,Spleen,,T cell,CL:0000084,NA,1,F,3_39_F,-34.92838070236303,-10.522515857022412,B000971
A16.B001750.3_38_F.1.1,Spleen,,T cell,CL:0000084,NA,1,F,3_38_F,-26.659457569064713,-3.8448488418786932,B001750
A16.MAA000508.3_9_M.1.1,Spleen,,B cell,CL:0000236,NA,0,M,3_9_M,14.321287216056753,7.375599070138347,MAA000508
A16.MAA000559.3_8_M.1.1,Spleen,,B cell,CL:0000236,NA,2,M,3_8_M,14.734685356242277,-19.998537670941317,MAA000559
A16.MAA000776.3_10_M.1.1,Spleen,,T cell,CL:0000084,NA,1,M,3_10_M,-28.353261055510018,-12.756404365088459,MAA000776
A16.MAA000779.3_11_M.1.1,Spleen,,T cell,CL:0000084,NA,1,M,3_11_M,-39.55942600492814,2.936009242450709,MAA000779
