MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:1914288,2010109I03Rik,RIKEN cDNA 2010109I03 gene,15,,cell surface,,,IBA,PTN001048184 ,J:161428 
MGI:2443685,5830411N06Rik,RIKEN cDNA 5830411N06 gene,7,,external side of plasma membrane,is a part of gamma-delta T cell,,IDA,,J:137854 
MGI:107809,Aamp,angio-associated migratory protein,1,,cell surface,,,ISO,Q13685 ,J:164563 
MGI:99607,Abca1,"ATP-binding cassette, sub-family A (ABC1), member 1",4,,cell surface,,,ISO,RGD:631344 ,J:155856 
MGI:99607,Abca1,"ATP-binding cassette, sub-family A (ABC1), member 1",4,,external side of plasma membrane,,,IDA,,J:200990 
MGI:1351646,Abca7,"ATP-binding cassette, sub-family A (ABC1), member 7",10,,cell surface,,,IDA,,J:206915 J:207821 
MGI:97570,Abcb1a,"ATP-binding cassette, sub-family B (MDR/TAP), member 1A",5,,cell surface,,,ISO,P08183 ,J:164563 
MGI:1352447,Abcc2,"ATP-binding cassette, sub-family C (CFTR/MRP), member 2",19,,cell surface,,,ISO,Q92887 ,J:164563 
MGI:107704,Abcg1,ATP binding cassette subfamily G member 1,17,,external side of plasma membrane,,,IDA,,J:150920 
MGI:107704,Abcg1,ATP binding cassette subfamily G member 1,17,,external side of plasma membrane,,,ISO,P45844 ,J:164563 
MGI:87874,Ace,angiotensin I converting enzyme (peptidyl-dipeptidase A) 1,11,,external side of plasma membrane,,,ISO,P12821 ,J:164563 
MGI:1917258,Ace2,angiotensin I converting enzyme (peptidyl-dipeptidase A) 2,X,,cell surface,,,ISO,Q9BYF1 ,J:164563 
MGI:87876,Ache,acetylcholinesterase,5,,cell surface,,,IDA,,J:111571 
MGI:87876,Ache,acetylcholinesterase,5,,cell surface,,,ISO,RGD:69313 ,J:155856 
MGI:109562,Ackr3,atypical chemokine receptor 3,1,,cell surface,,,ISO,P25106 ,J:164563 
MGI:1338944,Acvr1b,"activin A receptor, type 1B",15,,cell surface,,,ISO,P36896 ,J:164563 
MGI:2661081,Acvr1c,"activin A receptor, type IC",2,,cell surface,,,ISO,RGD:621789 ,J:155856 
MGI:2661081,Acvr1c,"activin A receptor, type IC",2,,cell surface,,,ISO,U69702 ,J:73065 
MGI:102806,Acvr2a,activin receptor IIA,2,,cell surface,,,IDA,,J:108339 
MGI:1338946,Acvrl1,"activin A receptor, type II-like 1",15,,cell surface,,,ISO,P37023 ,J:73065 
MGI:1338946,Acvrl1,"activin A receptor, type II-like 1",15,,cell surface,,,ISO,RGD:2029 ,J:155856 
MGI:87916,Ada,adenosine deaminase,2,,cell surface,,,ISO,P00813 ,J:164563 
MGI:87916,Ada,adenosine deaminase,2,,external side of plasma membrane,,,IBA,PTN000150944 ,J:161428 
MGI:87916,Ada,adenosine deaminase,2,,external side of plasma membrane,,,ISO,P00813 ,J:164563 
MGI:1340894,Adam2,a disintegrin and metallopeptidase domain 2,14,,cell surface,is a part of sperm,,IDA,,J:180946 
MGI:102518,Adam3,a disintegrin and metallopeptidase domain 3 (cyritestin),8,,cell surface,,,IDA,,J:92271 
MGI:102518,Adam3,a disintegrin and metallopeptidase domain 3 (cyritestin),8,,cell surface,is a part of sperm,,IDA,,J:171133 J:182133 J:210341 
MGI:104731,Adam4,a disintegrin and metallopeptidase domain 4,12,,external side of plasma membrane,,,IDA,,J:149644 
MGI:2676316,Adam6a,a disintegrin and metallopeptidase domain 6A,12,,cell surface,is a part of sperm,,IDA,,J:171133 
MGI:2676316,Adam6a,a disintegrin and metallopeptidase domain 6A,12,,external side of plasma membrane,,,IDA,,J:149644 
MGI:107825,Adam8,a disintegrin and metallopeptidase domain 8,7,,cell surface,,,ISO,P78325 ,J:164563 
MGI:105376,Adam9,a disintegrin and metallopeptidase domain 9 (meltrin gamma),8,,cell surface,,,IDA,,J:31451 
MGI:105376,Adam9,a disintegrin and metallopeptidase domain 9 (meltrin gamma),8,,cell surface,,,ISO,RGD:621473 ,J:155856 
MGI:105376,Adam9,a disintegrin and metallopeptidase domain 9 (meltrin gamma),8,,intrinsic component of external side of plasma membrane,,,IDA,,J:143698 
MGI:109548,Adam10,a disintegrin and metallopeptidase domain 10,9,,cell surface,,,ISO,RGD:2032 ,J:155856 
MGI:109548,Adam10,a disintegrin and metallopeptidase domain 10,9,,cell surface,,,ISO,O14672 ,J:164563 
MGI:1333882,Adam15,a disintegrin and metallopeptidase domain 15 (metargidin),3,,cell surface,,,ISO,Q13444 ,J:164563 
MGI:1096335,Adam17,a disintegrin and metallopeptidase domain 17,12,,cell surface,,,ISO,RGD:620404 ,J:155856 
MGI:1096335,Adam17,a disintegrin and metallopeptidase domain 17,12,,cell surface,,,ISO,P78536 ,J:164563 
MGI:105377,Adam19,a disintegrin and metallopeptidase domain 19 (meltrin beta),11,NOT,external side of plasma membrane,happens in fibroblast,,IDA,,J:109116 
MGI:105984,Adam24,a disintegrin and metallopeptidase domain 24 (testase 1),8,,external side of plasma membrane,,,IDA,,J:149644 
MGI:105985,Adam26a,a disintegrin and metallopeptidase domain 26A (testase 3),8,,external side of plasma membrane,,,IDA,,J:149644 
MGI:2676326,Adam29,a disintegrin and metallopeptidase domain 29,8,,external side of plasma membrane,,,IDA,,J:149644 
MGI:1918328,Adam30,a disintegrin and metallopeptidase domain 30,3,,external side of plasma membrane,,,IDA,,J:149644 
MGI:1347346,Adamts7,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 7",9,,cell surface,,,IDA,,J:92553 
MGI:1916320,Adamts9,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9",6,,cell surface,,,IDA,,J:207187 
MGI:2449569,Adamts15,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 15",9,,cell surface,,,IDA,,J:207187 
MGI:108449,Adcyap1r1,adenylate cyclase activating polypeptide 1 receptor 1,6,,cell surface,,,ISO,RGD:2038 ,J:155856 
MGI:1925810,Adgra2,adhesion G protein-coupled receptor A2,8,,cell surface,is a part of blood vessel endothelial cell,,IDA,,J:171226 
MGI:1917943,Adgra3,adhesion G protein-coupled receptor A3,5,,external side of plasma membrane,"is a part of testis,is a part of stromal cell",,IDA,,J:126330 
MGI:106912,Adgre1,adhesion G protein-coupled receptor E1,17,,external side of plasma membrane,is a part of macrophage,,IDA,,J:89997 
MGI:106912,Adgre1,adhesion G protein-coupled receptor E1,17,,external side of plasma membrane,,,IDA,,J:83995 J:86281 
MGI:106912,Adgre1,adhesion G protein-coupled receptor E1,17,,external side of plasma membrane,"is a part of blood,is a part of blood cell",,IDA,,J:63425 
MGI:1196464,Adgre4,adhesion G protein-coupled receptor E4,17,,cell surface,,,IDA,,J:78278 
MGI:2182928,Adgrf5,adhesion G protein-coupled receptor F5,17,,cell surface,,,ISO,Q8IZF2 ,J:73065 
MGI:1916151,Adgrg6,adhesion G protein-coupled receptor G6,10,,cell surface,,,ISO,AF216967 ,J:73065 
MGI:1274784,Adgrv1,adhesion G protein-coupled receptor V1,13,,cell surface,,,ISO,Q8WXG9 ,J:164563 
MGI:106675,Adipoq,"adiponectin, C1Q and collagen domain containing",16,,cell surface,,,ISO,Q15848 ,J:164563 
MGI:99403,Adora2b,adenosine A2b receptor,11,,cell surface,,,ISO,RGD:2050 ,J:155856 
MGI:1924596,Adtrp,androgen dependent TFPI regulating protein,13,,cell surface,,,ISO,Q96IZ2 ,J:164563 
MGI:893592,Ager,advanced glycosylation end product-specific receptor,17,,cell surface,,,ISO,RGD:69258 ,J:155856 
MGI:893592,Ager,advanced glycosylation end product-specific receptor,17,,external side of plasma membrane,,PR:Q62151-1,ISO,Q15109-1 ,J:73065 
MGI:893592,Ager,advanced glycosylation end product-specific receptor,17,,external side of plasma membrane,,PR:Q62151-10,ISO,Q15109-10 ,J:73065 
