"","nGene","nReads","orig.ident"
"O5.MAA000570.3_8_M.1.1",2435,715713,"Brain"
"C3.MAA000570.3_8_M.1.1",2045,752684,"Brain"
"F17.MAA000570.3_8_M.1.1",1843,530235,"Brain"
"I17.MAA000570.3_8_M.1.1",2204,698807,"Brain"
"K17.MAA000570.3_8_M.1.1",1612,448911,"Brain"
"M12.MAA000570.3_8_M.1.1",2797,924114,"Brain"
"P16.MAA000570.3_8_M.1.1",1551,319232,"Brain"
"C4.MAA000570.3_8_M.1.1",2040,509367,"Brain"
"F21.MAA000570.3_8_M.1.1",2014,586652,"Brain"
"I20.MAA000570.3_8_M.1.1",1892,633381,"Brain"
"K20.MAA000570.3_8_M.1.1",1717,438630,"Brain"
"M15.MAA000570.3_8_M.1.1",2106,624951,"Brain"
"O6.MAA000570.3_8_M.1.1",1653,438536,"Brain"
"P17.MAA000570.3_8_M.1.1",1698,308180,"Brain"
"C5.MAA000570.3_8_M.1.1",2029,861892,"Brain"
"G1.MAA000570.3_8_M.1.1",2524,944678,"Brain"
"I21.MAA000570.3_8_M.1.1",2264,1441688,"Brain"
"K21.MAA000570.3_8_M.1.1",1503,552282,"Brain"
"M16.MAA000570.3_8_M.1.1",2126,749475,"Brain"
"O7.MAA000570.3_8_M.1.1",1658,413975,"Brain"
"P18.MAA000570.3_8_M.1.1",1996,812084,"Brain"
"P19.MAA000570.3_8_M.1.1",2492,571984,"Brain"
"C8.MAA000570.3_8_M.1.1",2113,549075,"Brain"
"G3.MAA000570.3_8_M.1.1",2058,579025,"Brain"
"I22.MAA000570.3_8_M.1.1",2180,513682,"Brain"
"K22.MAA000570.3_8_M.1.1",2008,639206,"Brain"
"M17.MAA000570.3_8_M.1.1",1908,626910,"Brain"
"O8.MAA000570.3_8_M.1.1",2515,660317,"Brain"
"M18.MAA000570.3_8_M.1.1",2158,772401,"Brain"
"O9.MAA000570.3_8_M.1.1",1944,733047,"Brain"
"P20.MAA000570.3_8_M.1.1",1925,281437,"Brain"
"C12.MAA000570.3_8_M.1.1",2199,797889,"Brain"
"G4.MAA000570.3_8_M.1.1",2088,978942,"Brain"
"J1.MAA000570.3_8_M.1.1",1802,1307071,"Brain"
"L1.MAA000570.3_8_M.1.1",2193,822241,"Brain"
"M20.MAA000570.3_8_M.1.1",1940,614856,"Brain"
"O10.MAA000570.3_8_M.1.1",2547,814394,"Brain"
"C14.MAA000570.3_8_M.1.1",1711,724415,"Brain"
"G6.MAA000570.3_8_M.1.1",1894,705414,"Brain"
"J4.MAA000570.3_8_M.1.1",1711,442675,"Brain"
"L2.MAA000570.3_8_M.1.1",2853,699607,"Brain"
"J5.MAA000570.3_8_M.1.1",2698,1082107,"Brain"
"L3.MAA000570.3_8_M.1.1",2035,549494,"Brain"
"M22.MAA000570.3_8_M.1.1",1828,680487,"Brain"
"O11.MAA000570.3_8_M.1.1",1659,305577,"Brain"
"A1.MAA000570.3_8_M.1.1",1597,437103,"Brain"
"D1.MAA000570.3_8_M.1.1",1783,553814,"Brain"
"G7.MAA000570.3_8_M.1.1",2044,426694,"Brain"
"L4.MAA000570.3_8_M.1.1",2168,551854,"Brain"
"N1.MAA000570.3_8_M.1.1",2614,1625382,"Brain"
"O12.MAA000570.3_8_M.1.1",2157,395996,"Brain"
"A2.MAA000570.3_8_M.1.1",1615,549442,"Brain"
"D3.MAA000570.3_8_M.1.1",2220,1844244,"Brain"
"G16.MAA000570.3_8_M.1.1",2664,799887,"Brain"
"J7.MAA000570.3_8_M.1.1",2468,403234,"Brain"
"N2.MAA000570.3_8_M.1.1",1717,612733,"Brain"
"O13.MAA000570.3_8_M.1.1",1757,760305,"Brain"
"A3.MAA000570.3_8_M.1.1",1975,495708,"Brain"
"D5.MAA000570.3_8_M.1.1",1882,482234,"Brain"
"H1.MAA000570.3_8_M.1.1",1803,588112,"Brain"
"J12.MAA000570.3_8_M.1.1",2058,283020,"Brain"
"L5.MAA000570.3_8_M.1.1",2272,667746,"Brain"
"A4.MAA000570.3_8_M.1.1",1953,389676,"Brain"
"A11.MAA000570.3_8_M.1.1",1424,409427,"Brain"
"D8.MAA000570.3_8_M.1.1",2065,699716,"Brain"
"D6.MAA000570.3_8_M.1.1",1930,447825,"Brain"
"H3.MAA000570.3_8_M.1.1",1772,550688,"Brain"
"J17.MAA000570.3_8_M.1.1",1963,739186,"Brain"
"H2.MAA000570.3_8_M.1.1",2077,534916,"Brain"
"J15.MAA000570.3_8_M.1.1",1729,215545,"Brain"
