"","nGene","nReads","orig.ident"
"A1.B003290.3_38_F.1.1",3346,379874,"Brain_Non-Myeloid"
"A1.B003728.3_56_F.1.1",1695,709088,"Brain_Non-Myeloid"
"A1.MAA000560.3_10_M.1.1",3890,1586217,"Brain_Non-Myeloid"
"A1.MAA000564.3_10_M.1.1",4336,357412,"Brain_Non-Myeloid"
"A1.MAA000923.3_9_M.1.1",2230,279280,"Brain_Non-Myeloid"
"A1.MAA000930.3_8_M.1.1",930,524865,"Brain_Non-Myeloid"
"A1.MAA000932.3_11_M.1.1",1711,337283,"Brain_Non-Myeloid"
"A1.MAA000940.3_8_M.1.1",4433,89979,"Brain_Non-Myeloid"
"A1.MAA001854.3_38_F.1.1",534,557875,"Brain_Non-Myeloid"
"A1.MAA001894.3_39_F.1.1",2688,202708,"Brain_Non-Myeloid"
"A1.MAA001895.3_38_F.1.1",2130,94266,"Brain_Non-Myeloid"
"A10.B003290.3_38_F.1.1",1782,341897,"Brain_Non-Myeloid"
"A10.MAA000564.3_10_M.1.1",4057,771919,"Brain_Non-Myeloid"
"A10.MAA000641.3_9_M.1.1",508,73173,"Brain_Non-Myeloid"
"A10.MAA000926.3_9_M.1.1",3090,633994,"Brain_Non-Myeloid"
"A10.MAA000930.3_8_M.1.1",4214,1593483,"Brain_Non-Myeloid"
"A10.MAA000932.3_11_M.1.1",1891,237631,"Brain_Non-Myeloid"
"A10.MAA000935.3_8_M.1.1",3988,6405776,"Brain_Non-Myeloid"
"A10.MAA000941.3_8_M.1.1",3417,1402010,"Brain_Non-Myeloid"
"A10.MAA000944.3_9_M.1.1",3090,1784488,"Brain_Non-Myeloid"
"A10.MAA001853.3_38_F.1.1",2173,86832,"Brain_Non-Myeloid"
"A10.MAA001854.3_38_F.1.1",1709,2598904,"Brain_Non-Myeloid"
"A11.B000404.3_56_F.1.1",974,64698,"Brain_Non-Myeloid"
"A11.B003275.3_38_F.1.1",2229,1031353,"Brain_Non-Myeloid"
"A11.MAA000560.3_10_M.1.1",4099,1102296,"Brain_Non-Myeloid"
"A11.MAA000561.3_10_M.1.1",4937,1637866,"Brain_Non-Myeloid"
"A11.MAA000564.3_10_M.1.1",5934,533244,"Brain_Non-Myeloid"
"A11.MAA000641.3_9_M.1.1",644,97409,"Brain_Non-Myeloid"
"A11.MAA000902.3_11_M.1.1",2623,2180011,"Brain_Non-Myeloid"
"A11.MAA000923.3_9_M.1.1",606,67976,"Brain_Non-Myeloid"
"A11.MAA000926.3_9_M.1.1",4484,725558,"Brain_Non-Myeloid"
"A11.MAA000928.3_9_M.1.1",4924,3450475,"Brain_Non-Myeloid"
"A11.MAA000930.3_8_M.1.1",2493,739910,"Brain_Non-Myeloid"
"A11.MAA000932.3_11_M.1.1",2870,548895,"Brain_Non-Myeloid"
"A11.MAA000942.3_8_M.1.1",4759,271096,"Brain_Non-Myeloid"
"A11.MAA000944.3_9_M.1.1",1866,864980,"Brain_Non-Myeloid"
"A12.B001688.3_38_F.1.1",2276,1945596,"Brain_Non-Myeloid"
"A12.B003275.3_38_F.1.1",4357,1754971,"Brain_Non-Myeloid"
"A12.B003290.3_38_F.1.1",1230,257720,"Brain_Non-Myeloid"
"A12.MAA000560.3_10_M.1.1",2689,766784,"Brain_Non-Myeloid"
"A12.MAA000581.3_10_M.1.1",3363,508304,"Brain_Non-Myeloid"
"A12.MAA000615.3_10_M.1.1",5069,1350971,"Brain_Non-Myeloid"
"A12.MAA000641.3_9_M.1.1",1895,107863,"Brain_Non-Myeloid"
"A12.MAA000926.3_9_M.1.1",4536,648029,"Brain_Non-Myeloid"
"A12.MAA000930.3_8_M.1.1",3120,464688,"Brain_Non-Myeloid"
"A12.MAA000935.3_8_M.1.1",3257,2831561,"Brain_Non-Myeloid"
"A12.MAA000941.3_8_M.1.1",4695,1792236,"Brain_Non-Myeloid"
"A12.MAA000944.3_9_M.1.1",2827,2133021,"Brain_Non-Myeloid"
"A12.MAA001854.3_38_F.1.1",2618,2856226,"Brain_Non-Myeloid"
"A13.B003275.3_38_F.1.1",2757,1092329,"Brain_Non-Myeloid"
"A13.B003290.3_38_F.1.1",2216,268155,"Brain_Non-Myeloid"
"A13.MAA000424.3_11_M.1.1",4303,824086,"Brain_Non-Myeloid"
"A13.MAA000560.3_10_M.1.1",3721,1141304,"Brain_Non-Myeloid"
"A13.MAA000563.3_10_M.1.1",3923,346905,"Brain_Non-Myeloid"
"A13.MAA000615.3_10_M.1.1",4508,1836823,"Brain_Non-Myeloid"
"A13.MAA000923.3_9_M.1.1",2012,299589,"Brain_Non-Myeloid"
"A13.MAA000930.3_8_M.1.1",3169,312926,"Brain_Non-Myeloid"
"A13.MAA000941.3_8_M.1.1",2552,582655,"Brain_Non-Myeloid"
"A13.MAA000944.3_9_M.1.1",4412,1746677,"Brain_Non-Myeloid"
"A14.B003274.3_38_F.1.1",3164,1505377,"Brain_Non-Myeloid"
"A14.B003275.3_38_F.1.1",4368,1151988,"Brain_Non-Myeloid"
"A14.B003290.3_38_F.1.1",2238,946362,"Brain_Non-Myeloid"
"A14.B003728.3_56_F.1.1",3176,2876156,"Brain_Non-Myeloid"
"A14.MAA000560.3_10_M.1.1",5133,1642934,"Brain_Non-Myeloid"
"A14.MAA000561.3_10_M.1.1",4937,1042562,"Brain_Non-Myeloid"
"A14.MAA000581.3_10_M.1.1",3080,314118,"Brain_Non-Myeloid"
"A14.MAA000926.3_9_M.1.1",3285,597628,"Brain_Non-Myeloid"
"A14.MAA000930.3_8_M.1.1",2916,947297,"Brain_Non-Myeloid"
"A14.MAA000942.3_8_M.1.1",5922,375571,"Brain_Non-Myeloid"
"A14.MAA000944.3_9_M.1.1",1936,1099688,"Brain_Non-Myeloid"
"A14.MAA000947.3_9_M.1.1",2615,77617,"Brain_Non-Myeloid"
"A14.MAA001845.3_39_F.1.1",1078,52666,"Brain_Non-Myeloid"
"A15.B003275.3_38_F.1.1",579,149328,"Brain_Non-Myeloid"
"A15.B003277.3_39_F.1.1",661,375407,"Brain_Non-Myeloid"
"A15.B003290.3_38_F.1.1",3281,641479,"Brain_Non-Myeloid"
"A15.MAA000560.3_10_M.1.1",3277,1110907,"Brain_Non-Myeloid"
"A15.MAA000561.3_10_M.1.1",3267,1626317,"Brain_Non-Myeloid"
"A15.MAA000581.3_10_M.1.1",1676,303821,"Brain_Non-Myeloid"
"A15.MAA000641.3_9_M.1.1",813,243399,"Brain_Non-Myeloid"
"A15.MAA000930.3_8_M.1.1",3686,643309,"Brain_Non-Myeloid"
"A15.MAA000941.3_8_M.1.1",2006,628854,"Brain_Non-Myeloid"
"A15.MAA000942.3_8_M.1.1",6739,460802,"Brain_Non-Myeloid"
"A15.MAA000944.3_9_M.1.1",1608,1224180,"Brain_Non-Myeloid"
"A15.MAA001895.3_38_F.1.1",1907,77075,"Brain_Non-Myeloid"
"A16.B003275.3_38_F.1.1",1780,778977,"Brain_Non-Myeloid"
"A16.MAA000560.3_10_M.1.1",3169,1023029,"Brain_Non-Myeloid"
"A16.MAA000561.3_10_M.1.1",4400,1196171,"Brain_Non-Myeloid"
"A16.MAA000564.3_10_M.1.1",5203,1057503,"Brain_Non-Myeloid"
"A16.MAA000581.3_10_M.1.1",2400,1058219,"Brain_Non-Myeloid"
"A16.MAA000641.3_9_M.1.1",683,61420,"Brain_Non-Myeloid"
"A16.MAA000902.3_11_M.1.1",1018,538801,"Brain_Non-Myeloid"
"A16.MAA000930.3_8_M.1.1",3234,516942,"Brain_Non-Myeloid"
"A16.MAA000932.3_11_M.1.1",3211,546080,"Brain_Non-Myeloid"
