"","nGene","nReads","orig.ident"
"A14.MAA000496.3_10_M.1.1",3262,644204,"Trachea"
"B17.MAA000496.3_10_M.1.1",2741,981230,"Trachea"
"C22.MAA000496.3_10_M.1.1",4334,1132253,"Trachea"
"E13.MAA000496.3_10_M.1.1",3493,770185,"Trachea"
"G2.MAA000496.3_10_M.1.1",3344,879243,"Trachea"
"B18.MAA000496.3_10_M.1.1",3090,1042323,"Trachea"
"D1.MAA000496.3_10_M.1.1",2696,546313,"Trachea"
"H9.MAA000496.3_10_M.1.1",3128,544405,"Trachea"
"E14.MAA000496.3_10_M.1.1",2229,422613,"Trachea"
"I15.MAA000496.3_10_M.1.1",5901,1137037,"Trachea"
"K3.MAA000496.3_10_M.1.1",4104,859707,"Trachea"
"G4.MAA000496.3_10_M.1.1",2694,459837,"Trachea"
"A16.MAA000496.3_10_M.1.1",2483,274559,"Trachea"
"D2.MAA000496.3_10_M.1.1",3248,737108,"Trachea"
"E15.MAA000496.3_10_M.1.1",4238,821533,"Trachea"
"H10.MAA000496.3_10_M.1.1",3734,923363,"Trachea"
"G5.MAA000496.3_10_M.1.1",4871,986779,"Trachea"
"H11.MAA000496.3_10_M.1.1",2749,442257,"Trachea"
"I16.MAA000496.3_10_M.1.1",3493,772612,"Trachea"
"K4.MAA000496.3_10_M.1.1",2069,368902,"Trachea"
"I18.MAA000496.3_10_M.1.1",4027,1026881,"Trachea"
"A17.MAA000496.3_10_M.1.1",3193,741022,"Trachea"
"B20.MAA000496.3_10_M.1.1",3103,603555,"Trachea"
"D3.MAA000496.3_10_M.1.1",4664,879780,"Trachea"
"E16.MAA000496.3_10_M.1.1",3816,1079152,"Trachea"
"G6.MAA000496.3_10_M.1.1",4224,1136910,"Trachea"
"H12.MAA000496.3_10_M.1.1",3407,354281,"Trachea"
"K5.MAA000496.3_10_M.1.1",3854,986405,"Trachea"
"B21.MAA000496.3_10_M.1.1",2571,878126,"Trachea"
"I19.MAA000496.3_10_M.1.1",2498,450883,"Trachea"
"E17.MAA000496.3_10_M.1.1",3872,855581,"Trachea"
"G7.MAA000496.3_10_M.1.1",5629,881332,"Trachea"
"K6.MAA000496.3_10_M.1.1",4187,934270,"Trachea"
"H13.MAA000496.3_10_M.1.1",3395,541774,"Trachea"
"A20.MAA000496.3_10_M.1.1",3137,459416,"Trachea"
"B22.MAA000496.3_10_M.1.1",4489,1182111,"Trachea"
"D5.MAA000496.3_10_M.1.1",4950,1392103,"Trachea"
"E20.MAA000496.3_10_M.1.1",4518,1644869,"Trachea"
"G8.MAA000496.3_10_M.1.1",3598,837459,"Trachea"
