"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Tshz2",4.38007135978964e-17,0.315852335391495,0.75,0.307,9.96904241488123e-13,"Fat__mesenchymal.stem.cell.of.adipose","Tshz2"
"Aebp1",5.34568494252272e-08,0.332037576178987,0.94,0.7,0.00121667789291817,"Fat__mesenchymal.stem.cell.of.adipose","Aebp1"
"Osr2",0.000899454417140761,0.264663865795439,0.4,0.245,1,"Fat__mesenchymal.stem.cell.of.adipose","Osr2"
"Tbx20",1.58188844070961e-22,0.901834948064097,0.51,0.115,3.60037809105507e-18,"Heart__fibroblast","Tbx20"
"Foxp2",1.78893611864421e-22,0.406042204905952,0.46,0.093,4.07161860603423e-18,"Heart__fibroblast","Foxp2"
"Tcf21",8.94739793683505e-19,0.463566697918911,0.83,0.362,2.03642777042366e-14,"Heart__fibroblast","Tcf21"
"Gata4",1.43691523966158e-17,0.319308972731391,0.41,0.088,3.27041908546975e-13,"Heart__fibroblast","Gata4"
"Meox1",6.8004173787177e-15,0.705044595618655,0.4,0.112,1.54777499539615e-10,"Heart__fibroblast","Meox1"
"Sox9",8.00193735308792e-14,0.290991396794305,0.67,0.293,1.82124094156281e-09,"Heart__fibroblast","Sox9"
"Gata6",8.01055675897245e-07,0.342791058874118,0.48,0.248,0.0182320271834213,"Heart__fibroblast","Gata6"
"Tsc22d3",6.15749098918883e-06,0.622170743171694,0.8,0.68,0.140144494913938,"Heart__fibroblast","Tsc22d3"
"Klf15",0.000153099989985424,0.512239035725375,0.33,0.177,1,"Heart__fibroblast","Klf15"
"Msc",0.000320385620687668,0.303962036809595,0.21,0.095,1,"Heart__fibroblast","Msc"
"Zfp623",0.000503733531730992,0.274209393917105,0.23,0.11,1,"Heart__fibroblast","Zfp623"
"Bmyc",0.000833883443710707,0.386718471287986,0.41,0.287,1,"Heart__fibroblast","Bmyc"
"Smad6",0.00136204320634215,0.271773536594774,0.27,0.153,1,"Heart__fibroblast","Smad6"
"Fli1",0.0110176015504588,0.452087721152912,0.23,0.128,1,"Heart__fibroblast","Fli1"
"Cbfa2t3",2.50540784740517e-59,1.22933455307784,0.88,0.18,5.70230826069416e-55,"Heart__myofibroblast.cell","Cbfa2t3"
"Tcf15",8.68045734876817e-49,0.722313098181788,0.49,0.032,1.97567209257964e-44,"Heart__myofibroblast.cell","Tcf15"
"Epas1",8.26216798017121e-47,1.19718472820647,0.94,0.308,1.88046943228697e-42,"Heart__myofibroblast.cell","Epas1"
"Heyl",9.2377576197924e-47,1.71892954001359,0.85,0.23,2.10251363426475e-42,"Heart__myofibroblast.cell","Heyl"
"Tbx201",2.90833284860534e-38,0.868305410138319,0.62,0.097,6.61936556342576e-34,"Heart__myofibroblast.cell","Tbx20"
"Nr2f2",1.53103686761909e-36,1.08776742190492,0.99,0.557,3.48463991070105e-32,"Heart__myofibroblast.cell","Nr2f2"
"Foxs1",2.92121086870782e-36,1.14528916849319,0.57,0.092,6.648675937179e-32,"Heart__myofibroblast.cell","Foxs1"
"Notch1",8.54912243134791e-25,1.06234195598169,0.72,0.27,1.94578026537478e-20,"Heart__myofibroblast.cell","Notch1"
"Gata41",1.38588226521389e-20,0.712152051376894,0.42,0.087,3.15426803562681e-16,"Heart__myofibroblast.cell","Gata4"
"Hey2",1.25128091909204e-19,0.420242549852303,0.22,0.017,2.84791537185349e-15,"Heart__myofibroblast.cell","Hey2"
"Ets1",4.45222400674962e-19,0.948448142831756,0.77,0.372,1.01332618393621e-14,"Heart__myofibroblast.cell","Ets1"
"Zfp467",3.25665750144176e-18,0.497666327969763,0.42,0.102,7.41215247328144e-14,"Heart__myofibroblast.cell","Zfp467"
