p_val,avg_diff,pct.1,pct.2,cluster,gene,,Cell Type,,,,,,
1.79E-190,3.047511432,1,0.112,1,Car2,,Erythroblast_Car2 high,,,,Erythroblast_Car2 high,,B cell
1.39E-270,2.927640301,1,0.899,1,Hbb-bt,,,,,,Erythroblast_Car1 high,,endothelial cell
1.17E-133,2.831202371,0.856,0.045,1,Gypa,,,,,,Macrophage_Ms4a6c high,,macrophage
6.37E-123,2.724095988,0.823,0.046,1,Ctse,,,,,,Macrophage_Retnla high,,mesenchymal stem cell
9.39E-129,2.663046896,0.84,0.047,1,Rhd,,,,,,B cell_Vpreb3 high,,skeletal muscle satellute cell
2.41E-133,2.618404742,0.89,0.1,1,Hmbs,,,,,,B cell_Jchain high,,T cell
2.66E-181,2.609104638,0.989,0.236,1,Prdx2,,,,,,Muscle progenitor cell,,
4.92E-117,2.584463533,0.851,0.079,1,Alas2,,,,,,Muscle cell_Tnnc1 high,,
7.06E-211,2.503481349,1,0.949,1,Hba-a2,,,,,,Muscle cell_Tnnc2 high,,
1.29E-102,2.466491049,0.74,0.033,1,Slc4a1,,,,,,Endothelial cell,,
7.83E-105,2.21999335,0.89,0.176,1,Blvrb,,,,,,Stromal cell,,
1.16E-76,2.199256588,0.536,0.015,1,Hemgn,,,,,,Dendritic cell,,
4.60E-77,2.183284692,0.58,0.03,1,Snca,,,,,,T cell,,
9.42E-88,2.176850013,0.724,0.065,1,Isg20,,,,,,Neutrophil_Prg2 high,,
1.74E-76,2.053796901,0.646,0.062,1,Alad,,,,,,Neutrophil_Camp high,,
2.64E-71,1.974756615,0.58,0.037,1,Klf1,,,,,,Neutrophil_Retnlg high,,
9.15E-60,1.973996492,0.53,0.037,1,Mgst3,,,,,,Granulocyte monocyte progenitor cell,,
1.44E-62,1.864633619,0.613,0.081,1,Fech,,,,,,,,
9.42E-61,1.858764377,0.514,0.045,1,Dhrs11,,,,,,,,
2.58E-52,1.84496064,0.42,0.021,1,Pdzk1ip1,,,,,,,,
1.27E-51,1.793887429,0.403,0.014,1,Slc25a37,,,,,,,,
2.31E-109,1.775522718,0.939,0.352,1,Atpif1,,,,,,,,
3.31E-54,1.751248637,0.53,0.052,1,Gypc,,,,,,,,
2.45E-75,1.740586986,0.801,0.191,1,Glrx5,,,,,,,,
3.00E-46,1.723688236,0.436,0.03,1,Gch1,,,,,,,,
1.89E-54,1.701076783,0.591,0.085,1,Urod,,,,,,,,
2.38E-48,1.696165607,0.42,0.033,1,Cpox,,,,,,,,
2.44E-48,1.629625826,0.514,0.088,1,Gclm,,,,,,,,
