p_val,avg_diff,pct.1,pct.2,cluster,gene,,Cell Type,,,,,,,,
0,1.506618141,0.941,0.581,1,Cxcl10,,Endothelial cell,,,,,,,,
0,1.462604875,0.933,0.435,1,Clec4g,,,,,,,,,,
0,1.404348453,0.987,0.617,1,Igfbp7,,,,,,,,,,
2.60E-125,1.3882491,0.385,0.093,1,Adamts1,,,,,,,,,,
1.40E-251,1.385394171,0.719,0.246,1,Plpp3,,,,,,,,,,
9.73E-147,1.378355695,0.448,0.132,1,Iigp1,,,,,,,,,,
2.92E-218,1.377895612,0.645,0.19,1,Kdr,,,,,,,,,,
1.00E-184,1.368563114,0.546,0.144,1,Nrp1,,,,,,,,,,
2.64E-177,1.359858299,0.558,0.161,1,Cyp4b1,,,,,,,,,,
5.39E-178,1.350847084,0.552,0.193,1,Socs3,,,,,,,,,,
1.02E-94,1.341795798,0.25,0.042,1,Ifit1,,,,,,,,,,
1.12E-306,1.33796312,0.851,0.384,1,Fcgr2b,,,,,,,,,,
1.93E-152,1.335666553,0.493,0.158,1,Irgm1,,,,,,,,,,
4.09E-133,1.284578734,0.438,0.118,1,Bmp2,,,,,,,,,,
2.04E-201,1.280956301,0.656,0.235,1,Eng,,,,,,,,,,
3.82E-148,1.250365861,0.517,0.165,1,Oit3,,,,,,,,,,
0,1.236065182,0.911,0.493,1,Aqp1,,,,,,,,,,
1.10E-189,1.236030602,0.649,0.245,1,Ehd3,,,,,,,,,,
7.59E-115,1.233298511,0.413,0.134,1,Fabp4,,,,,,,,,,
1.41E-108,1.218076322,0.422,0.134,1,Tm4sf1,,,,,,,,,,
4.94E-202,1.217069045,0.707,0.272,1,Gpihbp1,,,,,,,,,,
9.33E-144,1.211265564,0.525,0.171,1,Ptprb,,,,,,,,,,
1.41E-124,1.20934197,0.432,0.116,1,Adgrf5,,,,,,,,,,
3.65E-132,1.181931093,0.508,0.17,1,Tspan7,,,,,,,,,,
1.30E-168,1.17428402,0.63,0.23,1,Sparc,,,,,,,,,,
5.78E-90,1.160337985,0.322,0.085,1,Lyve1,,,,,,,,,,
3.15E-136,1.144563916,0.539,0.206,1,Plpp1,,,,,,,,,,
9.85E-211,1.132208161,0.766,0.377,1,Egr1,,,,,,,,,,
0,1.121878206,0.992,0.822,1,Selenop,,,,,,,,,,
5.58E-103,1.12175548,0.389,0.11,1,Tinagl1,,,,,,,,,,
3.82E-83,1.118791269,0.288,0.068,1,Ltbp4,,,,,,,,,,
8.49E-104,1.117891407,0.403,0.115,1,Esam,,,,,,,,,,
2.17E-108,1.108513277,0.438,0.149,1,Gpr182,,,,,,,,,,
1.57E-104,1.107081873,0.449,0.189,1,Isg15,,,,,,,,,,
9.66E-91,1.106172264,0.341,0.092,1,Adgrl4,,,,,,,,,,
1.36E-96,1.106103849,0.388,0.124,1,Cldn5,,,,,,,,,,
