overlapGenesTissue1,overlapGenesTissue2,overlapGenesTissue3,overlapGenesTissue4,overlapGenesTissue5,overlapGenesTissue6,overlapGenesTissue7,overlapGenesTissue8,overlapGenesTissue9,overlapGenesTissue10,overlapGenesTissue11,overlapGenesTissue12,overlapGenesTissue13,overlapGenesTissue14,overlapGenesTissue15,overlapGenesTissue16,overlapGenesTissue17,overlapGenesTissue18,overlapGenesTissue19,overlapGenesTissue20,overlapGenesTissue21,overlapGenesTissue22,overlapGenesTissue23,overlapGenesTissue24,overlapGenesTissue25,overlapGenesTissue26,overlapGenesTissue27
,Cell Ontology,FACS,Droplet10x,microwellSeq,FACS_10x,FACS_microwellSeq,microwellSeq_10x,FACS_10x_microwellSeq,,Cell Ontology,FACS,Droplet10x,microwellSeq,FACS_10x,FACS_microwellSeq,microwellSeq_10x,FACS_10x_microwellSeq,,Cell Ontology,FACS,Droplet10x,microwellSeq,FACS_10x,FACS_microwellSeq,microwellSeq_10x,FACS_10x_microwellSeq
,hematopoietic precursor cell,0610007P14Rik,1810006K21Rik,2-Mar,0610007L01Rik,0610012G03Rik,2010107E04Rik,1810022K09Rik,,macrophage,0610007L01Rik,0610031J06Rik,Actg1,0610007C21Rik,2010107E04Rik,2410006H16Rik,2700060E02Rik,,monocyte,0610007C21Rik,1500012F01Rik,1700020L24Rik,0610012G03Rik,Anapc13,Btf3,Adssl1
,,0610009B22Rik,3110001D03Rik,Adgrg1,1110001J03Rik,2410006H16Rik,Atp5a1,2410015M20Rik,,,0910001L09Rik,1110005A03Rik,Actr3,0610007P14Rik,Alox5ap,Arhgdia,Arl6ip5,,,0610031J06Rik,2210403K04Rik,1700123O20Rik,1110007C09Rik,Atp5g1,Eef1a1,Aprt
,,0610009D07Rik,Abce1,Akr1a1,1110002B05Rik,Adh5,BC035044,2700060E02Rik,,,1110008P14Rik,1500011K16Rik,Adgre5,1110002B05Rik,Atp5h,Atp6v1f,Atp6v0e,,,0910001L09Rik,2410006H16Rik,1810022K09Rik,1500032L24Rik,Atp8b4,Eif3e,Bri3bp
,,0610010K14Rik,Atp6ap2,Anapc5,1110038B12Rik,Arl6ip4,Calr,AI662270,,,1110018J18Rik,2310039H08Rik,Akr1a1,1110003E01Rik,Ccr2,Cd48,B2m,,,1110008F13Rik,2700060E02Rik,1810037I17Rik,1600010M07Rik,Bola2,Eif3f,Cope
,,0610011F06Rik,Atp8b4,Apoe,1190002H23Rik,Atp5c1,Cct2,Ahsa1,,,1700021K19Rik,2610001J05Rik,Anapc11,1500032L24Rik,Clk1,Cd53,Btg2,,,1110014N23Rik,2810013P06Rik,2410015M20Rik,2010106G01Rik,Clec12a,Hspa8,Dbi
,,0610037L13Rik,B4galnt1,B2m,1190007I07Rik,Bri3bp,Chchd2,Apex1,,,1700024P16Rik,2700089E24Rik,Anp32b,1810006K21Rik,Cox7b,Cd74,Cd44,,,1600012H06Rik,Abi1,AI662270,2310047M10Rik,Cox6c,Mcts1,Gsto1
,,1110001A16Rik,Bclaf1,Bcas2,1500011K16Rik,C1d,Cox8a,Atp5b,,,1700113A16Rik,2810008M24Rik,Anp32e,1810026B05Rik,Cox8a,Cuta,Cd68,,,1600014C10Rik,Abi3,Actn4,2400001E08Rik,Cox7b,Naca,Ifngr1
,,1110004E09Rik,Caprin1,Bex3,1500012F01Rik,Cbx1,Ctsg,Atp5d,,,1810027O10Rik,4930572J05Rik,Anxa2,2210020M01Rik,Cybb,Dbnl,Cfp,,,1700025G04Rik,Akap13,Adgrg3,2510006D16Rik,Cox7c,Ndufb5,Ly6c2
,,1110004F10Rik,Cldn15,Celf2,1810027O10Rik,Ccl9,Dad1,Atp5g1,,,1810063B07Rik,5730494N06Rik,Anxa5,2310003F16Rik,Fcer1g,Dctpp1,Cox4i1,,,1810027O10Rik,Arf4,Adh5,2810422J05Rik,Cycs,Psma3,Napsa
,,1110007C09Rik,Clptm1l,Cenpx,1810029B16Rik,Cdk6,Eef2,Atp5g3,,,2210404O07Rik,6820431F20Rik,Ap1s2,2310016M24Rik,Fus,Eef1a1,Cst3,,,1810035L17Rik,Arid4a,Ahsa1,4632428N05Rik,Ddost,Psma4,Ndufb3
,,1110008F13Rik,Cox5b,Cox14,1810035L17Rik,Commd3,Eif3c,Atp5o,,,2310035C23Rik,9330133O14Rik,Apoe,2310044H10Rik,Gngt2,Eef2,Ctsa,,,1810043H04Rik,Atp5d,Ak2,6330407A03Rik,Dnajc3,Psma5,Ndufb8
,,1110031I02Rik,Cox6c,Cox4i1,2210013O21Rik,Cops4,Eif5b,Atpif1,,,2310045N01Rik,Abi3,Arhgap45,2410015M20Rik,Gpx1,Eif3e,Ctsb,,,2210012G02Rik,Atp6v1f,Alas1,6720456B07Rik,Eno1,Psmb1,Plac8
,,1110038F14Rik,Creld2,Cox6b1,2310003F16Rik,Eef1d,Erp29,Bag1,,,2810442I21Rik,Aes,Arhgap9,2810013P06Rik,H2afj,Eif3f,Ctsh,,,2310016M24Rik,B2m,Anxa3,9130401M01Rik,Fkbp2,Rpl13,Pnp
,,1110051M20Rik,Csgalnact2,Dnajc9,2310008H09Rik,Eif3d,Hmgn1,Banf1,,,2900053A13Rik,Akap9,Arl6ip1,2810407C02Rik,Hexa,Erp29,Ctss,,,2410017P09Rik,Bckdha,Ap1s1,AB124611,Gpx1,Rpl18,Rpl10
,,1110058L19Rik,D10Wsu52e,Dusp2,2310039H08Rik,Eif6,Hnrnpa3,Bola2,,,3110001D03Rik,Amfr,Arpc1b,5430417L22Rik,Hn1,Fau,Ctsz,,,2410091C18Rik,Btg1,Ap3s1,AF251705,Gstm1,Rpl18a,Rpl36al
,,1190002F15Rik,Ddb1,Eif3f,2610029G23Rik,Exosc8,Hnrnph1,Btf3,,,4921513D23Rik,Ankrd11,Arpc2,5730403B10Rik,Ifi30,Gas5,Cyth4,,,2810002N01Rik,Btg2,Apex1,AI413582,Hspa5,Rpl19,Rps11
,,1500001M20Rik,Ddt,Eif3h,2700094K13Rik,Fcf1,Hp1bp3,Bzw2,,,4930413G21Rik,Ankrd12,Asf1b,6330578E17Rik,Lamp2,Gltscr2,Emp3,,,2810428I15Rik,Camk1,Atp5a1,AI607873,Lamtor2,Rpl22,Rps27l
,,1500011B03Rik,Ddx1,Eif4h,2810004N23Rik,Idh3b,Hsp90b1,C1qbp,,,4931406C07Rik,Arid4b,Ass1,A130040M12Rik,Lman2,H2-D1,Evi2a,,,2900010M23Rik,Ccnl1,Atp5b,Abcd2,M6pr,Rpl27,Rps29
,,1500011H22Rik,Ddx21,Emc6,2900010M23Rik,Larp7,Hspa5,Cacybp,,,4932438A13Rik,Arpc5l,Atf3,A230046K03Rik,Ly6c2,H2-K1,Fkbp2,,,2900064A13Rik,Ccrl2,Atp5g3,Abhd12,Magt1,Rpl27a,Sec61b
,,1500031L02Rik,Dmkn,Emg1,Aarsd1,Mcm7,Hspa8,Canx,,,4933407H18Rik,As3mt,Atox1,A430035B10Rik,Ndufa6,H2afy,Gltp,,,3110003A17Rik,Cct4,Atp6ap2,Acaa1a,Manf,Rpl32,Slc25a5
,,1700011J10Rik,Dnaja1,Fus,Abhd11,Mrpl24,Hspa9,Ccnd2,,,4933426M11Rik,Atp5sl,Atp1b3,A430084P05Rik,Neat1,Klf2,Gm2a,,,3830406C13Rik,Cd53,Atpif1,Acer3,Mapkapk3,Rpl35,Snrpb2
,,1700020L24Rik,Dnaja2,Gm10736,Abhd14a,Mrpl28,Imp3,Cct3,,,5031414D18Rik,B4galnt1,Atp5a1,A930001N09Rik,Serf2,Napsa,Grn,,,4930471M23Rik,Cd74,B230118H07Rik,Actb,Mrps15,Rpl35a,Syngr2
,,1700025G04Rik,Dnajb11,Gm11361,Acads,Mrpl52,Ivns1abp,Cct4,,,5031439G07Rik,BC031181,Atp5b,AI662270,Sod1,Pdia6,H13,,,5031439G07Rik,Chmp2b,Banf1,Actg1,Mt1,Rpl37,Tmed10
,,1700034H14Rik,Dnajc3,Gm15427,Acot7,Mrps17,M6pr,Cct5,,,5430427O19Rik,Bbx,Atp5c1,Abcc1,,Pfdn5,H2-DMa,,,5430435G22Rik,Chmp3,Baz1a,Actr3,Nans,Rpl37a,Tmem160
,,1700037H04Rik,Edem1,Gm15536,Adssl1,Ndufa8,Mcm2,Cct6a,,,5730419I09Rik,Bet1,Atp5d,Abcf1,,Psmb10,Hsp90b1,,,5730508B09Rik,Cib1,C1qbp,Adam15,Ndufb2,Rpl38,
,,1700040I03Rik,Egr1,Gm2000,Agpat5,Ndufa9,Mcm6,Cct7,,,6330416G13Rik,Bod1l,Atp5f1,Acbd5,,Rpl10a,Ifi27l2a,,,6330416G13Rik,Clec10a,Cacybp,Add3,Ndufb4,Rpl7a,
,,1700112E06Rik,Eif3a,Gm4149,Ahcy,Ndufs3,Minos1,Cct8,,,6720456H20Rik,Btg1,Atp5g1,Adam19,,Rpl11,Irf5,,,6430548M08Rik,Cmc1,Calr,Ahnak,Ndufb6,Rplp0,
,,1700123O20Rik,Eif3b,Gm42418,Ak2,Pcna,Nsun2,Cd34,,,8430419L09Rik,Bzw1,Atp5g3,Adcy7,,Rpl13,Irf7,,,9430038I01Rik,Cox7a2l,Ccdc115,Aif1,Ndufc1,Rplp2,
,,1810009A15Rik,Eif4b,Gm8186,Alas1,Prdx1,P4hb,Cdk4,,,9830001H06Rik,Ccdc107,Atp5o,Adk,,Rpl14,Irf8,,,9930111J21Rik1,Crlf2,Cct2,Akr1a1,Ndufc2,Rps14,
,,1810014B01Rik,Eif4g1,Gnas,Anxa3,Psmc5,Pabpc1,Chchd1,,,9930111J21Rik1,Cct5,Bin2,Ahnak,,Rpl18,Itgb7,,,A230046K03Rik,Csk,Cct3,Alox5ap,Ndufs6,Rps23,
,,1810020D17Rik,Eif4g2,H2-DMa,Ap1s1,Psmd6,Pdap1,Cks1b,,,A530032D15Rik,Cd37,Birc5,Alyref2,,Rpl18a,Krtcap2,,,AA960436,Cxcl2,Cct5,Ankle2,Ostc,Rps25,
,,1810030N24Rik,Elane,H2-K1,Ap3s1,Psme1,Prpf19,Cmtm7,,,AI413582,Cdc42se1,Brk1,Amica1,,Rpl19,Laptm5,,,Abca3,Eef2,Cct6a,Anxa2,P4hb,Rps27a,
,,1810037I17Rik,Emb,H3f3b,Atad3a,Qdpr,Ptbp1,Cnbp,,,AI607873,Cdc42se2,Bsg,Ankib1,,Rpl21,Lgals1,,,Abca7,Eif2a,Cct7,Anxa4,Parl,Rps28,
,,1810049H13Rik,Eprs,Hnrnpdl,Atic,Rnaseh2b,Rpl10,Cnpy2,,,AU040320,Cdk5rap3,Btf3,Apc,,Rpl27,Lsp1,,,Abca9,Eif3h,Cct8,Anxa5,Pdia3,Rps5,
,,1810058I24Rik,Erp44,Hnrnpk,Atp5g2,Rpa2,Rpl13a,Cox5a,,,Abcd1,Celf2,Bub3,Apobec3,,Rpl27a,Ly6e,,,Abcb7,Eif3k,Cd63,Apbb1ip,Pdia6,Rps9,
,,1810063B07Rik,Fh1,Hnrnpm,B230118H07Rik,Rpl26,Rpn1,Cox7b,,,Abhd15,Cirbp,C1galt1c1,Arf4,,Rpl29,M6pr,,,Abcc4,Eif3m,Cdk4,Aph1a,Rpn1,Slc25a3,
,,2010003O02Rik,Fkbp11,Irf8,B4galt6,Rpl30,Rps10,Cst7,,,Abhd6,Cnbp,Calm1,Arglu1,,Rpl3,Mbnl1,,,Abcd1,Epn1,Cdk6,Aplp2,S100a1,,
,,2010012O05Rik,Frat2,Khdrbs1,BC005764,Rpl34,Rps15a,Cuta,,,Abr,Cnot4,Capg,Arhgap17,,Rpl35,Mpeg1,,,Abhd15,Evl,Cetn3,Apobec1,Sdf2l1,,
,,2010107H07Rik,Gart,Lgals1,BC017612,Snhg5,Rps21,Cycs,,,Acap2,Cnot8,Capza2,Arhgap27,,Rpl35a,Mtdh,,,Abr,Fau,Chchd1,Apoc2,Sec61g,,
,,2210012G02Rik,Gm15421,Lgals9,BC048355,Sod1,Sdha,Dapp1,,,Acer3,Cnp,Capzb,Arhgap30,,Rpl36,Necap2,,,Acaa2,Fermt3,Chchd2,Apoe,Ssr4,,
,,2210016L21Rik,Gm9320,Ly6e,Bcap29,Tuba1b,Sec11a,Dbi,,,Acsl4,Commd7,Card19,Arhgap5,,Rpl37,Npc2,,,Acot9,Filip1l,Cks1b,App,Surf4,,
,,2210411K11Rik,Gmps,Mydgf,Bet1,Tubb5,Sec61b,Dctpp1,,,Adam11,Cops4,Ccl3,Arhgef6,,Rpl37a,P4hb,,,Acox3,Fkbp1a,Cks2,Arhgap26,Tomm7,,
,,2300009A05Rik,Gorasp2,Naa38,Bex6,Txn2,Snhg3,Ddost,,,Adam17,Cox7a2l,Ccl5,Arid3a,,Rpl39,Plac8,,,Actr2,Fxc1,Cldn15,Arhgap30,Ufc1,,
,,2310001A20Rik,Got2,Ndufa7,Bola1,Vdac3,Srp72,Ddx39b,,,Adar,Csk,Ccl6,Asah1,,Rpl4,Pld4,,,Acvrl1,Gdi2,Clns1a,Arhgap9,Uqcrq,,
,,2310004N24Rik,Gspt1,Ndufs8,Bphl,,Srsf3,Dkc1,,,Adipor2,D10Wsu52e,Ccl9,Asph,,Rpl5,Pomp,,,Adam17,Gltscr2,Cmtm7,Arhgdia,Xbp1,,
,,2310009A05Rik,Gtpbp4,Nol7,Cbx3,,Ssrp1,Dnajc2,,,Adnp,D14Ertd449e,Ccna2,Asxl2,,Rpl6,Ppia,,,Adap1,Gm13157,Cnbp,Arl11,,,
,,2310009B15Rik,H13,Nono,Ccdc115,,Sub1,Dtymk,,,Agpat5,D4Wsu53e,Ccnb1,Atf6,,Rpl8,Prkcd,,,Adcy7,Gm1673,Cnpy2,Arl4c,,,
,,2310016M24Rik,H47,Nrros,Cd27,,Trim28,Dut,,,Agps,Ddrgk1,Ccnb2,Atf6b,,Rplp1,Psap,,,Adrbk2,Gnb2l1,Cops5,Arl6ip5,,,
,,2310033P09Rik,Hdlbp,Ociad1,Cd63,,Usmg5,Eef1a1,,,Akap11,Ddx21,Cd52,Atp13a2,,Rps13,Psmb8,,,Agpat4,Gpx4,Cox5a,Arpc1b,,,
,,2310046O06Rik,Hells,Pbdc1,Cd81,,Vcp,Eef1b2,,,Alcam,Ddx5,Cdca3,Atp1a1,,Rps14,Psme1,,,Agpat5,Guca1a,Cox6b1,Arpc2,,,
,,2310061C15Rik,Herpud1,Pfdn6,Cd93,,Ybx1,Eef1g,,,Ankle2,Dgcr6,Cdca8,Atp1b1,,Rps15a,Psme2,,,Ahcyl2,H2-D1,Cox7a2,Arpc3,,,
,,2310061I04Rik,Hnrnpu,Psmb10,Cdc26,,Zfp706,Eif1ax,,,Ankmy2,Dnajb11,Cdk2ap2,Atp2a1,,Rps16,Pycard,,,Aida,H2-K1,Cst7,Arpc4,,,
,,2400001E08Rik,Hspa4,Psmd1,Cdc37,,,Eif2s2,,,Ankrd44,Dnajc1,Cdk4,Atp5g2,,Rps18,Ramp1,,,Aim1,Hbxip,Ctsg,Arpc5,,,
,,2410002F23Rik,Ifngr1,Psmd11,Cdca7,,,Eif3e,,,Anks3,Dpp4,Cenpa,Atp6v1d,,Rps20,Rap1a,,,Akr7a5,Hcls1,Cuedc2,Arrdc4,,,
,,2410002O22Rik,Igj,Psme2,Cdca7l,,,Eif3g,,,Anxa7,Ebpl,Cenpx,Atrx,,Rps23,Reep5,,,Alcam,Hif1a,Cuta,Asah1,,,
,,2410003K15Rik,Immt,Ptprcap,Cenpw,,,Eif3i,,,Ap2a2,Eci2,Cfl1,Atxn7l3b,,Rps24,Rgs10,,,Aldh3a2,Higd2a,Cyc1,Asap1,,,
,,2410004N09Rik,Ipo5,Rack1,Cetn3,,,Eif3k,,,Ap2b1,Eef1d,Cks1b,B230206F22Rik,,Rps26,Rpl10,,,Aldh3b1,Hmha1,Dad1,Atf3,,,
,,2410016O06Rik,Kcnq1ot1,Rbm25,Chchd4,,,Eif3l,,,Ap3d1,Eef1g,Clec4a1,B3gnt8,,Rps3,Rpl36al,,,Aldh9a1,Hmox2,Ddx39b,Atox1,,,
,,2410091C18Rik,Lamtor2,Rnf187,Chchd7,,,Eif3m,,,Apba1,Eif3h,Clec4a3,BC147527,,Rps4x,Rps11,,,Alg8,Iah1,Def6,Atp1a1,,,
,,2410127L17Rik,Lman2,Rps16-ps2,Cks2,,,Eif4a1,,,Apbb1ip,Eif4a2,Clec7a,Bcl11a,,Rps5,Rps25,,,Amica1,Ier5,Dkc1,Atp1a3,,,
