p_val,avg_diff,pct.1,pct.2,cluster,gene,,Cell Type,,,,,,,,,
0,1.741461528,0.966,0.365,1,Akr1c21,,Proximal tubule brush border cell,,,,,,,,,
0,1.703954084,0.999,0.571,1,Miox,,,,,,,,,,,
0,1.664861183,0.973,0.381,1,Gsta2,,,,,,,,,,,
0,1.557376134,0.911,0.299,1,Ass1,,,,,,,,,,,
0,1.461130137,0.914,0.359,1,Rida,,,,,,,,,,,
0,1.459089129,0.999,0.653,1,Aldob,,,,,,,,,,,
4.65E-228,1.453040249,0.747,0.236,1,Pck1,,,,,,,,,,,
2.41E-205,1.424777292,0.671,0.191,1,Acaa1b,,,,,,,,,,,
1.27E-185,1.40590416,0.605,0.148,1,Cela1,,,,,,,,,,,
1.09E-149,1.390373475,0.454,0.097,1,Cmbl,,,,,,,,,,,
9.88131291682493e-324,1.375485144,0.875,0.387,1,Sord,,,,,,,,,,,
0,1.374641784,0.996,0.704,1,Gpx1,,,,,,,,,,,
1.63E-197,1.340510484,0.69,0.213,1,AI314278,,,,,,,,,,,
2.14E-233,1.338738976,0.779,0.248,1,Fbp1,,,,,,,,,,,
3.17E-161,1.336995113,0.552,0.139,1,Idh1,,,,,,,,,,,
1.01E-109,1.334729679,0.397,0.099,1,Hpd,,,,,,,,,,,
1.20E-213,1.332880294,0.765,0.249,1,Hao2,,,,,,,,,,,
1.01E-235,1.315215742,0.784,0.285,1,Ttc36,,,,,,,,,,,
0,1.310248607,0.984,0.657,1,Akr1a1,,,,,,,,,,,
6.81E-150,1.299393016,0.546,0.148,1,Pah,,,,,,,,,,,
6.67E-232,1.279368766,0.81,0.292,1,Glyat,,,,,,,,,,,
1.21E-237,1.277645522,0.811,0.26,1,Keg1,,,,,,,,,,,
6.31E-155,1.274627575,0.57,0.165,1,Dnajc12,,,,,,,,,,,
1.22E-169,1.274101524,0.621,0.185,1,Fmo1,,,,,,,,,,,
1.96E-151,1.262373709,0.561,0.168,1,Sfxn1,,,,,,,,,,,
0,1.249203146,0.99,0.675,1,Dbi,,,,,,,,,,,
3.12E-146,1.223460088,0.574,0.179,1,Bdh2,,,,,,,,,,,
7.12E-142,1.204626861,0.578,0.174,1,Pter,,,,,,,,,,,
5.42E-195,1.200120785,0.731,0.307,1,Scp2,,,,,,,,,,,
2.16E-168,1.195738252,0.681,0.229,1,Pdzk1,,,,,,,,,,,
1.98E-141,1.195396816,0.572,0.184,1,Msra,,,,,,,,,,,
4.27E-99,1.189916613,0.371,0.095,1,Gsta3,,,,,,,,,,,
1.27222280743391e-309,1.181243714,0.931,0.529,1,Cyb5a,,,,,,,,,,,
1.05E-137,1.156438827,0.591,0.191,1,Cda,,,,,,,,,,,
3.62E-105,1.136375246,0.446,0.139,1,Aldh9a1,,,,,,,,,,,
6.53E-98,1.129281031,0.401,0.116,1,Gstz1,,,,,,,,,,,
2.03E-137,1.128015865,0.592,0.235,1,Cat,,,,,,,,,,,
6.02E-105,1.11806057,0.445,0.125,1,Ddah1,,,,,,,,,,,
2.22E-123,1.116281868,0.565,0.202,1,Fah,,,,,,,,,,,
2.16E-104,1.105894433,0.48,0.16,1,Dhrs4,,,,,,,,,,,
4.18E-91,1.079556769,0.424,0.132,1,BC026585,,,,,,,,,,,
2.37E-81,1.076406456,0.311,0.069,1,Gm19950,,,,,,,,,,,
4.26E-70,1.064708218,0.271,0.062,1,Gm10639,,,,,,,,,,,
8.09E-85,1.052755358,0.396,0.134,1,Hebp1,,,,,,,,,,,
1.64E-74,1.05147414,0.375,0.117,1,Inmt,,,,,,,,,,,
2.60E-131,1.042130022,0.65,0.257,1,Khk,,,,,,,,,,,
4.10E-118,1.039613999,0.574,0.245,1,Qdpr,,,,,,,,,,,
1.10E-126,1.031598437,0.628,0.224,1,Calml4,,,,,,,,,,,
2.05E-100,1.031283968,0.504,0.184,1,Cryz,,,,,,,,,,,
3.44E-102,1.028182147,0.495,0.205,1,4833439L19Rik,,,,,,,,,,,
1.15E-81,1.025042647,0.38,0.116,1,Dao,,,,,,,,,,,
1.84E-99,1.014811423,0.531,0.209,1,Gstt2,,,,,,,,,,,
1.93E-69,1.008304447,0.331,0.103,1,Tst,,,,,,,,,,,
2.34E-99,0.995909867,0.549,0.221,1,Gsta4,,,,,,,,,,,
8.42E-72,0.993783535,0.414,0.141,1,Gatm,,,,,,,,,,,
3.30E-94,0.993639134,0.477,0.165,1,Sult1d1,,,,,,,,,,,
2.32E-100,0.989230268,0.56,0.232,1,Iah1,,,,,,,,,,,
5.78E-75,0.974572506,0.364,0.111,1,Hgd,,,,,,,,,,,
1.43E-79,0.969510568,0.438,0.154,1,Cryl1,,,,,,,,,,,
1.46E-55,0.960371352,0.217,0.047,1,Acmsd,,,,,,,,,,,
4.88E-78,0.952837585,0.424,0.159,1,Akr7a5,,,,,,,,,,,
1.03E-92,0.951241194,0.54,0.228,1,Dcxr,,,,,,,,,,,
1.50E-67,0.949016299,0.365,0.119,1,0610005C13Rik,,,,,,,,,,,
5.19E-70,0.942435791,0.385,0.131,1,Grhpr,,,,,,,,,,,
4.06E-73,0.932188179,0.432,0.158,1,Cotl1,,,,,,,,,,,
1.28E-124,0.926912125,0.722,0.358,1,Ndrg1,,,,,,,,,,,
1.68E-97,0.920079249,0.584,0.253,1,Bphl,,,,,,,,,,,
1.66E-103,0.918136213,0.622,0.324,1,Aldh2,,,,,,,,,,,
7.49E-62,0.916873704,0.327,0.106,1,Thnsl2,,,,,,,,,,,
3.79E-69,0.909988923,0.414,0.165,1,Hadh,,,,,,,,,,,
3.09E-64,0.899566234,0.343,0.105,1,Eci3,,,,,,,,,,,
6.09E-54,0.895631414,0.293,0.099,1,Papss2,,,,,,,,,,,
5.81E-60,0.892253688,0.341,0.119,1,Pipox,,,,,,,,,,,
1.25E-52,0.887582711,0.256,0.071,1,Hacl1,,,,,,,,,,,
3.29E-85,0.883452612,0.543,0.215,1,Pecr,,,,,,,,,,,
6.45E-52,0.883175599,0.277,0.089,1,Tprkb,,,,,,,,,,,
2.36E-62,0.87736321,0.403,0.171,1,Ddt,,,,,,,,,,,
4.71E-49,0.874606689,0.221,0.057,1,D630029K05Rik,,,,,,,,,,,
8.75E-87,0.869976768,0.572,0.267,1,Txndc17,,,,,,,,,,,
4.38E-57,0.869366077,0.352,0.132,1,Aldh7a1,,,,,,,,,,,
1.69E-49,0.867310444,0.289,0.098,1,Aldh8a1,,,,,,,,,,,
9.66E-51,0.861086257,0.315,0.115,1,Gcsh,,,,,,,,,,,
1.89E-84,0.857018062,0.576,0.283,1,Hint2,,,,,,,,,,,
2.90E-62,0.854562912,0.399,0.167,1,Aldh6a1,,,,,,,,,,,
1.95E-49,0.852940235,0.24,0.067,1,Nit2,,,,,,,,,,,
1.51E-51,0.852616807,0.325,0.131,1,Gstm5,,,,,,,,,,,
6.03E-84,0.851770366,0.589,0.262,1,Cbr1,,,,,,,,,,,
3.16E-51,0.845738586,0.269,0.08,1,Ephx2,,,,,,,,,,,
1.65E-78,0.844784548,0.552,0.277,1,Acot13,,,,,,,,,,,
2.38E-104,0.837938718,0.664,0.38,1,Sdhc,,,,,,,,,,,
3.02E-80,0.832812259,0.536,0.262,1,Plscr2,,,,,,,,,,,
7.75E-54,0.824083677,0.362,0.159,1,Decr1,,,,,,,,,,,
3.02E-46,0.821313001,0.259,0.084,1,Upb1,,,,,,,,,,,
1.13E-46,0.819294127,0.289,0.105,1,Haao,,,,,,,,,,,
2.14E-41,0.817998292,0.21,0.061,1,Fitm1,,,,,,,,,,,
8.78E-91,0.817447692,0.635,0.37,1,Park7,,,,,,,,,,,
1.07E-41,0.816120249,0.275,0.108,1,Pxmp2,,,,,,,,,,,
1.80E-50,0.815379271,0.307,0.117,1,Adk,,,,,,,,,,,
5.00E-93,0.808230972,0.654,0.37,1,Etfb,,,,,,,,,,,
5.63E-43,0.806287407,0.269,0.096,1,Gk,,,,,,,,,,,
5.08E-79,0.803623422,0.6,0.32,1,Tmem256,,,,,,,,,,,
9.57E-48,0.803201187,0.312,0.11,1,Adh1,,,,,,,,,,,
1.26E-45,0.79822233,0.318,0.128,1,Gcdh,,,,,,,,,,,
3.88E-177,0.798091157,0.919,0.695,1,Prdx1,,,,,,,,,,,
2.82E-41,0.796072201,0.23,0.074,1,Hoga1,,,,,,,,,,,
1.85E-42,0.795498235,0.2,0.056,1,Dhfr,,,,,,,,,,,
1.10E-40,0.789981139,0.246,0.081,1,Tkfc,,,,,,,,,,,
4.02E-300,0.787173543,0.998,0.87,1,Ftl1,,,,,,,,,,,
4.61E-39,0.785842949,0.204,0.062,1,Ascc1,,,,,,,,,,,
5.50E-140,0.784102888,0.874,0.549,1,Atpif1,,,,,,,,,,,
2.83E-102,0.780528303,0.715,0.445,1,Suclg1,,,,,,,,,,,
2.26E-72,0.779484994,0.584,0.309,1,Hist1h2bc,,,,,,,,,,,
6.86E-37,0.778916916,0.218,0.075,1,Gpd1,,,,,,,,,,,
7.37E-62,0.777219772,0.496,0.256,1,Abhd14b,,,,,,,,,,,
5.19E-37,0.774263035,0.158,0.038,1,Tstd1,,,,,,,,,,,
3.23E-39,0.773115708,0.196,0.055,1,Xylb,,,,,,,,,,,
5.12E-69,0.764061121,0.557,0.305,1,Ech1,,,,,,,,,,,
5.11E-42,0.762881983,0.316,0.135,1,Pepd,,,,,,,,,,,
1.34E-92,0.761770452,0.719,0.423,1,Gpx4,,,,,,,,,,,
2.09E-38,0.761546203,0.291,0.121,1,Ethe1,,,,,,,,,,,
5.29E-38,0.760679647,0.247,0.09,1,Aspa,,,,,,,,,,,
4.32E-37,0.758500342,0.216,0.076,1,Tcea3,,,,,,,,,,,
7.03E-35,0.757874349,0.211,0.071,1,Gas2,,,,,,,,,,,
5.83E-37,0.757525529,0.22,0.069,1,Gchfr,,,,,,,,,,,
1.12E-43,0.75567632,0.353,0.154,1,Gipc2,,,,,,,,,,,
8.63E-35,0.755401734,0.179,0.054,1,Hnf4a,,,,,,,,,,,
1.56E-62,0.753066931,0.524,0.27,1,Selenbp1,,,,,,,,,,,
2.26E-43,0.752896127,0.345,0.148,1,Msrb1,,,,,,,,,,,
7.15E-38,0.748230279,0.178,0.047,1,Them7,,,,,,,,,,,
6.87E-39,0.746835397,0.152,0.031,1,Kmo,,,,,,,,,,,
1.25E-33,0.745102442,0.202,0.064,1,Blvra,,,,,,,,,,,
2.82E-37,0.745082895,0.173,0.044,1,Bhmt2,,,,,,,,,,,
9.65E-36,0.740680789,0.192,0.058,1,Me1,,,,,,,,,,,
2.17E-53,0.739148086,0.474,0.252,1,Nme1,,,,,,,,,,,
3.53E-36,0.737069834,0.242,0.09,1,4931406C07Rik,,,,,,,,,,,
4.36E-38,0.729751673,0.299,0.123,1,Dab2,,,,,,,,,,,
9.52E-78,0.725993606,0.665,0.391,1,Pcbd1,,,,,,,,,,,
7.34E-52,0.724323393,0.482,0.249,1,Atp6v1g1,,,,,,,,,,,
3.63E-40,0.723976058,0.349,0.171,1,Hibadh,,,,,,,,,,,
1.47E-33,0.723905608,0.247,0.096,1,Nipsnap1,,,,,,,,,,,
2.72E-164,0.722375506,0.909,0.709,1,Gapdh,,,,,,,,,,,
2.65E-34,0.716408899,0.292,0.132,1,Eci1,,,,,,,,,,,
4.69E-97,0.716319232,0.776,0.513,1,Mif,,,,,,,,,,,
1.54E-34,0.715682751,0.286,0.124,1,Fahd1,,,,,,,,,,,
8.98E-73,0.713679756,0.66,0.397,1,Txn1,,,,,,,,,,,
5.17E-55,0.709051459,0.511,0.293,1,Esd,,,,,,,,,,,
9.28E-194,0.70276777,0.971,0.798,1,Chchd2,,,,,,,,,,,
2.46E-33,0.698211828,0.203,0.071,1,Pxmp4,,,,,,,,,,,
6.30E-65,0.688752963,0.6,0.37,1,Phyh,,,,,,,,,,,
