p_val,avg_diff,pct.1,pct.2,cluster,gene,,Cell Type,,,,,,
1.46E-110,1.716987976,0.555,0.118,1,Ighd,,Marginal zone B cell,,,,,,
8.30E-170,1.544716312,0.807,0.311,1,Ly6d,,,,,,,,
1.19E-226,1.468174545,0.927,0.428,1,Cd79a,,,,,,,,
7.08E-129,1.445178114,0.737,0.273,1,Iglc3,,,,,,,,
1.76E-92,1.339043358,0.593,0.2,1,Ms4a1,,,,,,,,
7.88E-55,1.332305884,0.257,0.026,1,RP24-338A5.4,,,,,,,,
6.56E-66,1.291054779,0.434,0.11,1,Cd19,,,,,,,,
3.30E-37,1.139171644,0.245,0.05,1,Spib,,,,,,,,
3.44E-68,1.13575958,0.553,0.224,1,Fcmr,,,,,,,,
1.70E-35,1.135310018,0.272,0.07,1,Fcer2a,,,,,,,,
1.23E-119,1.11606481,0.788,0.424,1,Cd79b,,,,,,,,
0,1.087041308,1,0.936,1,Cd74,,,,,,,,
4.30E-153,1.052652067,0.656,0.13,1,Igkc,,,,,,,,
2.40E-45,1.028117915,0.438,0.173,1,Siglecg,,,,,,,,
4.93E-27,0.987970138,0.189,0.04,1,Ebf1,,,,,,,,
1.86E-28,0.97391833,0.245,0.07,1,Serpinb1a,,,,,,,,
8.21E-27,0.939123218,0.198,0.043,1,Snn,,,,,,,,
5.20E-29,0.937001036,0.304,0.109,1,Hvcn1,,,,,,,,
5.93E-36,0.935669354,0.404,0.168,1,Iglc1,,,,,,,,
1.81E-31,0.932384521,0.22,0.056,1,Blnk,,,,,,,,
5.59E-26,0.92784994,0.16,0.035,1,Ralgps2,,,,,,,,
1.12E-106,0.927313144,0.506,0.092,1,Iglc2,,,,,,,,
8.65E-28,0.917085972,0.215,0.056,1,Cd22,,,,,,,,
8.20E-22,0.913704552,0.2,0.055,1,Vpreb3,,,,,,,,
3.17E-26,0.908189228,0.17,0.04,1,Gga2,,,,,,,,
2.42E-30,0.90812402,0.35,0.153,1,H2-Ob,,,,,,,,
1.47E-21,0.903528728,0.155,0.035,1,Cr2,,,,,,,,
7.64E-52,0.89326347,0.586,0.308,1,Cd37,,,,,,,,
2.15E-20,0.862568946,0.163,0.039,1,Tnfrsf13c,,,,,,,,
3.86E-22,0.858512155,0.173,0.04,1,Bank1,,,,,,,,
2.28E-168,0.856732424,0.938,0.544,1,H2-Eb1,,,,,,,,
