p_val,avg_diff,pct.1,pct.2,cluster,gene,,Cell Type,,,,,,,
0,2.412098843,0.833,0.074,1,Dpt,,Stromal cell_Dpt high,,,,,,,
1.17E-233,2.229887501,0.612,0.048,1,Gas1,,,,,,,,,
2.85E-276,2.043223849,0.855,0.191,1,Cxcl12,,,,,,,,,
0,2.012744658,0.987,0.373,1,Lum,,,,,,,,,
0,1.978617809,1,0.906,1,Mgp,,,,,,,,,
0,1.852004663,0.951,0.217,1,Clec3b,,,,,,,,,
1.89E-221,1.739045729,0.711,0.105,1,Matn2,,,,,,,,,
1.26E-185,1.673375909,0.544,0.044,1,Pcolce2,,,,,,,,,
1.01E-152,1.665841704,0.683,0.177,1,Eln,,,,,,,,,
2.59E-133,1.663027233,0.516,0.106,1,Mfap4,,,,,,,,,
2.84E-148,1.662153294,0.519,0.068,1,Smoc2,,,,,,,,,
1.56E-244,1.65727503,0.823,0.165,1,Col14a1,,,,,,,,,
3.39E-60,1.626847664,0.271,0.043,1,Apod,,,,,,,,,
1.87E-193,1.587250159,0.594,0.06,1,Fmo2,,,,,,,,,
8.34E-244,1.574342603,0.842,0.232,1,Htra3,,,,,,,,,
2.23E-183,1.573765041,0.685,0.125,1,Serpinf1,,,,,,,,,
2.06E-152,1.545223246,0.487,0.056,1,Dpep1,,,,,,,,,
0,1.499933826,1,0.889,1,Gsn,,,,,,,,,
5.28E-169,1.497859544,0.635,0.162,1,Cd55,,,,,,,,,
1.12E-144,1.497090531,0.707,0.211,1,Crispld2,,,,,,,,,
5.16E-163,1.496305931,0.679,0.155,1,Mfap5,,,,,,,,,
4.86E-94,1.485166809,0.243,0.005,1,C1qtnf3,,,,,,,,,
0,1.474026045,1,0.691,1,Dcn,,,,,,,,,
1.35E-187,1.442767062,0.759,0.17,1,Prss23,,,,,,,,,
4.19E-174,1.406576283,0.785,0.284,1,Spon2,,,,,,,,,
0,1.395110048,0.999,0.536,1,Col3a1,,,,,,,,,
1.47E-144,1.386824143,0.527,0.071,1,Tnxb,,,,,,,,,
4.23E-128,1.38345528,0.456,0.062,1,Ackr3,,,,,,,,,
1.33E-215,1.373978527,0.872,0.291,1,Ltbp4,,,,,,,,,
6.73E-200,1.344360329,0.883,0.429,1,Pi16,,,,,,,,,
0,1.338162789,0.999,0.728,1,Sparc,,,,,,,,,
2.80E-107,1.331140334,0.45,0.073,1,Svep1,,,,,,,,,
